,screen_name,state
2202,Irshadsiddiqi03,Bihar
2209,odisha_nsui,Odisha
2213,MdTariq72192659,Bihar
2214,JayadevJena10,Odisha
2216,Sushant73814815,Odisha
2217,rahul4dugu,Odisha
2218,nagariya_anil,Odisha
2221,OdishaCongress1,To Be Added
2224,PramodhYesudas,Andaman and Nicobar Islands
2226,ZkZkhan12,Bihar
2233,ssinghbhoi,Odisha
2235,BhograiCongress,Odisha
2237,BiharBpcc,Bihar
2240,arif_indian786,Odisha
2242,Biplab_JSPur,Odisha
2246,papu0016,Odisha
2248,SaifNsui,Bihar
2252,RoutInc,Odisha
2253,Sushana571,Odisha
2254,HarurGauthaman,Odisha
2257,SumitraJena9,Odisha
2259,Brajesh35830566,Bihar
2261,AmbujKu16798265,Odisha
2262,KailashKumarMu5,Odisha
2263,Biswaji62436821,Odisha
2267,kumar_nsui,Odisha
2268,RupeshBehera19,Odisha
2270,SinghSunfish,Bihar
2271,Rupesh_IYC,Odisha
2277,Abhisek36795100,Odisha
2278,Narendr10350617,Odisha
2281,MDH_Congress,Bihar
2282,GhanaSabar,Odisha
2284,MPICongress,Odisha
2285,Biswapr26023068,Odisha
2286,93Kanungo,Odisha
2287,ANJANkUMARPATE2,Odisha
2292,RamchandraJha18,Bihar
2294,Basudev_Odisha,Odisha
2295,GaneshPala4,Odisha
2296,Pradeep_Behera7,Odisha
2298,UmeshPadhi10,Odisha
2299,ThaneshwarKaya,To Be Added
2303,AYAZKHAN07860,Bihar
2314,AkashKu56061965,Bihar
2320,HKHAN11111,Overseas
2323,INCOverseas,Overseas
2325,manish_nsui,Bihar
2334,MartyGearheart,Overseas
2335,AmolvKhodke,Overseas
2340,briju8855,Overseas
2342,ChiragJangidkhr,Overseas
2352,RajShahil021786,Overseas
2354,ParvezKothariya,Overseas
2358,cms_khan,To Be Added
2365,ArunPalackalody,Overseas
2371,zakirhussain203,Overseas
2377,IOYCAustralia,Overseas
2378,leehaseen1,Overseas
2383,_RahulAgrawal,Overseas
2384,sarfraj_vadiya,Overseas
2387,AshifkhanParmar,Overseas
2390,VNarayanasami,Puducherry
2393,SanjaySDutt,To Be Added
2395,INCPuducherry,Puducherry
2400,ANamassivayam,Puducherry
2404,akshatsinghhry,Puducherry
2405,PuducherryPMC,Puducherry
2410,Ravidevt,Puducherry
2412,MubashBachi,To Be Added
2415,sivashunmugamp,Puducherry
2416,VAroumougam,Puducherry
2418,MLA_DJEAMOURTHY,Puducherry
2419,Sourabhmandloi7,Madhya Pradesh
2422,PerumalShanmugm,Puducherry
2423,Ilayaraja_Iyc,Puducherry
2424,bewithswami,Puducherry
2426,KALYAN_NSUI,Puducherry
2428,SaravananCongr3,Puducherry
2429,dhanavelu_mla,Puducherry
2431,SamirMC8,Puducherry
2432,Lakshmikanthinc,Puducherry
2435,vengatveeravel,Puducherry
