,screen_name,state
2360,BiswanathBj,To Be Added
2361,NISARGMEHTA6,Overseas
2362,inayatali110,Overseas
2372,gprai86,Overseas
2376,irishabh_abvp,Gujarat
2388,thekiranbedi,Puducherry
2389,rbsharmabjp,Puducherry
2394,BJP4Puducherry,Puducherry
2397,mlagagda,Chhattisgarh
2398,GMurugadassBJP,Puducherry
2407,Akshaybabu26,Gujarat
2408,UPADH_RENU,To Be Added
2417,RajkumarMev,To Be Added
2427,MouliDevan,Puducherry
2430,UmapathyG10,Puducherry
2433,m_sanvat,Puducherry
2434,BjpSelvam,Puducherry
2440,PondiUniABVP,Puducherry
2444,BjpKeerthivasan,Puducherry
2445,yanam_bjp,Puducherry
2449,bjpselvampondy,Puducherry
2451,BhattVaibhav19,To Be Added
2452,VijaysinhRana4,To Be Added
2453,bjpmgmurugadass,Puducherry
2463,officialYAD,Punjab
2465,sukhgrewalbjp,Punjab
2466,PalFotolab,Punjab
2471,kamalsharmabjp,Punjab
2473,kumarbangarappa,Punjab
2486,shwait_malik,Punjab
2500,PSDhindsa1,Punjab
2502,vishalarorabjp,Punjab
2509,BJPPunjab,To Be Added
2510,ABVPPunjab,Punjab
2513,sunny_sharmabjp,Punjab
2517,vineetjoshi,Punjab
2522,varinder_sant,Punjab
2555,RajeshHon1,Punjab
2566,kaliamanoranja1,Punjab
2580,MohitGuptaBJP,Punjab
2590,parmod1972,Punjab
2598,rizadhiman,Punjab
2601,ANKITSAINIBJP,Punjab
2613,ASHUABVP,Punjab
2616,bjpaniljoshi,Punjab
2624,sahibeeanandbjp,Punjab
2628,kantandu,Punjab
2639,ParveenbansaBJP,Punjab
2640,raghu_shiv,Punjab
2642,maheshchandawa4,Punjab
2656,Satish_Abvp,Punjab
2661,bjp_sj,Punjab
2662,deepakkumarkkp,Punjab
2667,sukhdeep_khaira,Punjab
2671,abhishekdbjp,Punjab
2677,sharvaridahra,Punjab
2678,bjpsamvadpunjab,Punjab
2683,advharshsharma,Punjab
2687,goel_bjp,Punjab
2691,KangMalvinder,Punjab
2695,BJYMPUNJAB,Punjab
2699,ArunshankarP,To Be Added
2704,YuvrajsinhRaol_,To Be Added
2710,Abvp_Ludhiana,Punjab
2720,AmitGosain26,Punjab
2735,YadavJeeva,Punjab
2739,JatinderMittal4,Punjab
2753,kuldeepsoni2016,Punjab
2756,charanjot519,Punjab
2762,VermaVicky66,Punjab
2768,ManishT09863044,Punjab
2773,JimmyDhingra2,Punjab
2776,SanjeevChadha77,Punjab
2778,PhutelaAshwani,Punjab
2785,shivbirbjp,Punjab
2796,BJPIT4Punjab,Punjab
2800,KsumanRajveer,Punjab
2801,behalvineet,Punjab
2805,PraffulTiwari6,Punjab
2806,RakeshDhingra20,Punjab
2809,Jitendr47169474,Punjab
2812,Renuthapar14,Punjab
2815,SonuRaj44075498,Punjab
2822,bjp_neelam,Punjab
2828,PramodK14443567,To Be Added
2837,anujbhandari5,Punjab
2843,amit_sachdeva77,Punjab
2859,skgbjp,Punjab
2861,Gautam5266,Punjab
2866,GarchaTanuj,Punjab
2870,P97231464,To Be Added
2877,BadalTh82247302,To Be Added
2919,VasundharaBJP,Rajasthan
2920,Ra_THORe,Rajasthan
2921,OmMathur_bjp,Rajasthan
2922,BJP4Rajasthan,Rajasthan
2923,AshokParnamiBJP,Rajasthan
2924,arjunrammeghwal,Rajasthan
2926,PradipsinhGuj,Gujarat
2927,gssjodhpur,Rajasthan
2928,KumariDiya,Rajasthan
2929,PemaKhanduBJP,Arunachal Pradesh
2930,RamcharanBohra,Rajasthan
2931,VasudevDevnani,Rajasthan
2932,crchaudharymos,Rajasthan
2933,chshekharbjp,Rajasthan
2934,DrKirodilalBJP,Rajasthan
2935,ombirlakota,Rajasthan
2937,SatishPooniaBJP,Rajasthan
2938,kiransnm,Rajasthan
2939,rcfalduofficial,Gujarat
2940,BJP4Arunachal,Arunachal Pradesh
2941,KailashBaytu,Rajasthan
2942,KalicharanSaraf,Rajasthan
2943,ajrajbjp,Rajasthan
2944,msunilbishnoi,Rajasthan
2945,Ganpatsinhv,Gujarat
2946,devjimpatel,Rajasthan
2948,beniwalhanuman9,Rajasthan
2949,VasubenTrivedi,Gujarat
2950,madhusharmabjp,Rajasthan
2951,AniLKPatelBJP,Madhya Pradesh
2952,AtulgahlotBjp,Rajasthan
2953,virendra79,Rajasthan
2954,kvjadeja1994,Gujarat
2955,AhlawatMp,Rajasthan
2956,Gulab_kataria,Rajasthan
2957,singh_76,Uttar Pradesh
2959,HarshilBhuria,Gujarat
2960,drmanojrajoria,Rajasthan
2961,_LKAdvani,Gujarat
2962,SumanSharmaBJP,Rajasthan
2963,chaturvediarun1,Rajasthan
2964,Jitulaljamnagar,Gujarat
2965,MPjaipur,Rajasthan
2966,MPSumedhanand,Rajasthan
2967,hirendrakaushik,Rajasthan
2968,ShailenderVer16,Rajasthan
2970,SUNITAVYASBJP,Rajasthan
2972,neeraj_jain75,Rajasthan
2973,otaramjidewasi,Rajasthan
2974,mithileshjaipur,Rajasthan
2975,LkChahar,Rajasthan
2976,HackIndia,Uttar Pradesh
2977,piyushdiya,Rajasthan
2978,JaunapuriaSS,Rajasthan
2979,DS_Khimsar,Rajasthan
2981,TeamRajasthan,Rajasthan
2982,GautamTanwar_,Rajasthan
2983,ophudla,Rajasthan
2984,VIJAYGATHALA77,Rajasthan
2985,gtiwariindia,Rajasthan
2986,sanwalaramm,Rajasthan
2987,BJYMinRJ,Rajasthan
2988,bjp4barmer,Rajasthan
2989,JaskaurBJP,Rajasthan
2990,BJP4Jaipur,Rajasthan
2992,BJP4Jodhpur,Rajasthan
2993,rsjadeja125,To Be Added
2994,BJP_JEET,Rajasthan
2995,bjymrajasthan,Rajasthan
2996,ITforWOMAN,Rajasthan
2997,rajmahilamorcha,Rajasthan
2998,jogeshwarg,Rajasthan
2999,erpankajvyas,Rajasthan
3000,SureshPatelMLA,Gujarat
3001,MahendraBJYM,Rajasthan
3004,jeetujanta,Rajasthan
3005,ankurpoplybjym,Rajasthan
3006,bgnpmaheshpatel,Gujarat
3007,DevSaBhatiBJP,Rajasthan
3008,PrahladGunjal,Rajasthan
3009,manishpareek23,Rajasthan
3010,Mla_Raniwara,Rajasthan
3011,Dev_Jurix,Rajasthan
3012,shantprakash,To Be Added
3013,KailashvermaBJP,Rajasthan
3015,vasundhraraje,Rajasthan
3016,Sanjeevbjpalwar,Rajasthan
3017,EktaAgarwalBJP,Rajasthan
3018,RaoRajendraBJP,Rajasthan
3019,RajendraRBJP,Rajasthan
3020,BJP4Kota,Rajasthan
3021,BJP4Churu,Rajasthan
3022,GajendraKhimsar,Rajasthan
3023,AshokLahotyBJP,Rajasthan
3024,sureshrajsayla,Rajasthan
3026,sikarsansad,Rajasthan
3027,mangusinghBjp4,Rajasthan
3028,bjpsanjayjain,Rajasthan
3029,RajnikantBKN,Rajasthan
3030,AjaysinghKilak,Rajasthan
3031,DrJyotiKiranBJP,Rajasthan
3032,Dipsinh_Rathod,Rajasthan
3034,RajpurohitPoon1,Rajasthan
3035,OfficeOfOmsingh,Rajasthan
3037,mukeshkerwaliya,Rajasthan
3038,sihagrakesh2013,Rajasthan
3039,bjpbusinesscell,Rajasthan
3040,Balarammoodh,Rajasthan
3041,BJP4Ajmer,Rajasthan
3042,bhilwararaghav,Rajasthan
3043,imsumitrathi,To Be Added
3045,Bjp4Jalore,Rajasthan
3046,ijayeshpatelbjp,Gujarat
3048,VijayGo85865290,Rajasthan
3049,BJP4Udaipur,Rajasthan
3050,Deepakseemla,Rajasthan
3051,kavitamalikjpr,Rajasthan
3052,Priyaankagoutam,Rajasthan
3053,rajeshpandeyMP,Uttar Pradesh
3054,akhileshconsul,Rajasthan
3055,ManoJJoshiraj,Rajasthan
3056,NimishaGaurIN,Rajasthan
3057,chughkranti,Rajasthan
3059,HimSarswatBJYM,Rajasthan
3060,BJP4Bikaner,Rajasthan
3061,KaranShekhawa1,Rajasthan
3062,PuspJain,Rajasthan
3063,Mahendr79125678,Rajasthan
3064,SureshDhakerBjp,Rajasthan
3065,BJP4Bharatpur,Rajasthan
3066,AnitaBhadelajm,Rajasthan
3067,hariomrajsamand,Rajasthan
3068,Jitendrajhabjym,Rajasthan
3070,Mangilal_in,Rajasthan
3071,csjbjym25,Rajasthan
3072,biharibishnoi,Rajasthan
3073,huRIpaZouV9d5cP,Rajasthan
3074,MahilaMorchaRaj,Rajasthan
3075,baheriasc,Rajasthan
3076,JogendraSawarda,Rajasthan
3077,JS_Bishnoi,Rajasthan
3078,jangid_kusum,Rajasthan
3079,hlnagar,Rajasthan
3081,SHIVShivkumar68,Rajasthan
3082,BenakeAnil,Karnataka
3083,AanjanaYuvaS,Rajasthan
3084,rakasera,Rajasthan
3085,BjymVikas,Haryana
3086,omprakashbjym,Rajasthan
3087,vikaskotharii27,Rajasthan
3088,MdsuMohit,Rajasthan
3089,BharatendraBJP,Rajasthan
3090,mirzarahil,Rajasthan
3092,sachin54555,Rajasthan
3093,Devchoudhay6464,Rajasthan
3094,BJP4Pali,Rajasthan
3095,drprabhulal4bjp,Rajasthan
3096,pancharia98250,Rajasthan
3097,BJPRajasthanIT,Rajasthan
3098,BJYMjaipur,Rajasthan
3099,mlguptabjp,Rajasthan
3100,vaibhavpagaria1,Rajasthan
3101,chimanshapariya,Gujarat
3103,Mukesh_Rawat93,Rajasthan
3104,VijayTrivediBJP,Gujarat
3105,jatbajrangbjp,Rajasthan
3107,rajkumar_rinwa,Rajasthan
3108,shubhamVabvp,Rajasthan
3110,BJYM4Pali,Rajasthan
3111,Vinaykaushikbjp,Rajasthan
3112,iSureshPurohit,Rajasthan
3115,luvkushsharma79,Rajasthan
3116,vikassharmakota,Rajasthan
3117,BJPRAJITCELL,Rajasthan
3118,LSBjodhpur,Rajasthan
3119,sunilporwalBJP,Rajasthan
3120,Patanjali_ybrw,Rajasthan
3121,CSapariya,Gujarat
3122,ksph955,Rajasthan
3123,bharatzala68,Gujarat
3124,itcellBJPraj,Rajasthan
3126,BJP4Jhalawar,Rajasthan
3127,LokenderBJP,Rajasthan
3128,Shaitan76834025,Rajasthan
3129,SureshRawatIN,Rajasthan
3130,VSonalba,Gujarat
3131,balan_priyanka,Rajasthan
3132,JajraVikram,Rajasthan
3133,ShivKumarSoni6,Rajasthan
3134,Heenalvyas,Rajasthan
3135,bjpudr,Rajasthan
3137,sihagsangwanne1,Rajasthan
3138,Arjuntiw123,Rajasthan
3139,shaktawatharsh1,Rajasthan
3140,gautam161952,Uttar Pradesh
3141,hirabhaisolanki,Gujarat
3142,vimalkatiyarbjp,Rajasthan
3143,ralawta,Rajasthan
3144,NileshP99709646,Rajasthan
3145,dparam4BJP,Rajasthan
3146,pali_mk,Rajasthan
3148,hinduraj_singh,Rajasthan
3149,manoharsolank82,Rajasthan
3150,dd_babal,Rajasthan
3151,KapilDevBjp,Uttar Pradesh
3152,GauravMahera,Rajasthan
3153,Mohitkumarsana1,Rajasthan
3154,DrSSAgarwal,Rajasthan
